model,labels,precision,recall,f1-score,support
knn,bart,0.47540983606557374,0.8285714285714286,0.6041666666666667,35.0
knn,homer,0.4166666666666667,0.4,0.4081632653061225,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5,0.4,0.4444444444444445,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
knn,macro avg,0.2784153005464481,0.32571428571428573,0.2913548752834467,95.0
knn,weighted avg,0.337431693989071,0.45263157894736844,0.3767827306361141,95.0
nb,bart,0.52,0.7428571428571429,0.6117647058823529,35.0
nb,homer,0.5,0.36,0.41860465116279066,25.0
nb,lisa,0.16,0.3076923076923077,0.2105263157894737,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.236,0.28210989010989007,0.24817913456692345,95.0
nb,weighted avg,0.3450526315789474,0.4105263157894737,0.3643549798970029,95.0
lsvc,bart,0.7105263157894737,0.7714285714285715,0.7397260273972601,35.0
lsvc,homer,0.5,0.56,0.5283018867924528,25.0
lsvc,lisa,0.21052631578947367,0.3076923076923077,0.25,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.5008771929824561,0.4178241758241758,0.4286055828379426,95.0
lsvc,weighted avg,0.5519852262234534,0.5263157894736842,0.5194521908285834,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.6,0.36,0.45,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
svc,macro avg,0.21696969696969698,0.25485714285714284,0.21673267326732676,95.0
svc,weighted avg,0.3365231259968102,0.43157894736842106,0.3518759770713914,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4657534246575342,0.9714285714285714,0.6296296296296297,35.0
rf,homer,0.5833333333333334,0.28,0.3783783783783784,25.0
rf,lisa,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
rf,macro avg,0.23203957382039575,0.26567032967032966,0.21978341978341978,95.0
rf,weighted avg,0.3403068172714892,0.4421052631578947,0.34398225977173347,95.0
lgbm,bart,0.5964912280701754,0.9714285714285714,0.7391304347826086,35.0
lgbm,homer,0.8947368421052632,0.68,0.7727272727272727,25.0
lgbm,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lgbm,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
lgbm,macro avg,0.6482456140350876,0.5177216117216118,0.5449780577927031,95.0
lgbm,weighted avg,0.6683748845798707,0.6526315789473685,0.6248756382322562,95.0
xgb,bart,0.5714285714285714,0.9142857142857143,0.7032967032967032,35.0
xgb,homer,0.8421052631578947,0.64,0.7272727272727272,25.0
xgb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
xgb,marge,0.5,0.3,0.37499999999999994,10.0
xgb,maggie,1.0,0.75,0.8571428571428571,12.0
xgb,accuracy,0.6526315789473685,0.6526315789473685,0.6526315789473685,0.6526315789473685
xgb,macro avg,0.6627067669172932,0.5516263736263736,0.5769869019869021,95.0
xgb,weighted avg,0.6658171745152355,0.6526315789473685,0.6286505891769049,95.0
ab,bart,0.5833333333333334,0.6,0.591549295774648,35.0
ab,homer,0.37209302325581395,0.64,0.4705882352941177,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.16666666666666666,0.1,0.125,10.0
ab,maggie,1.0,0.16666666666666666,0.2857142857142857,12.0
ab,accuracy,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.42105263157894735
ab,macro avg,0.42441860465116277,0.30133333333333334,0.29457036335661024,95.0
ab,weighted avg,0.4566911464708282,0.42105263157894735,0.39102634382144263,95.0
et,bart,0.484375,0.8857142857142857,0.6262626262626262,35.0
et,homer,0.5,0.4,0.4444444444444445,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
et,macro avg,0.196875,0.2571428571428571,0.21414141414141413,95.0
et,weighted avg,0.3100328947368421,0.43157894736842106,0.34768740031897927,95.0
mlp,bart,0.7428571428571429,0.7428571428571429,0.7428571428571429,35.0
mlp,homer,0.425,0.68,0.5230769230769231,25.0
mlp,lisa,0.2,0.23076923076923078,0.21428571428571427,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.6,0.25,0.35294117647058826,12.0
