model,labels,precision,recall,f1-score,support
knn,bart,0.4827586206896552,0.8,0.6021505376344086,35.0
knn,homer,0.40625,0.52,0.45614035087719296,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.5111350574712643,0.32066666666666666,0.30396587001001263,95.0
knn,weighted avg,0.4812575620084695,0.4631578947368421,0.39370373170748474,95.0
nb,bart,0.379746835443038,0.8571428571428571,0.5263157894736843,35.0
nb,homer,0.46153846153846156,0.24,0.3157894736842105,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
nb,macro avg,0.16825705939629992,0.2194285714285714,0.16842105263157897,95.0
nb,weighted avg,0.2613642187259776,0.37894736842105264,0.2770083102493075,95.0
lsvc,bart,0.6,0.8571428571428571,0.7058823529411764,35.0
lsvc,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
lsvc,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.6,0.25,0.35294117647058826,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.5301149425287356,0.43219780219780224,0.44498108015135884,95.0
lsvc,weighted avg,0.54173018753781,0.5578947368421052,0.5217569206814766,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5263157894736842,0.8571428571428571,0.6521739130434783,35.0
