model,labels,precision,recall,f1-score,support
knn,bart,0.54,0.7714285714285715,0.6352941176470589,35.0
knn,homer,0.42105263157894735,0.32,0.3636363636363636,25.0
knn,lisa,0.3125,0.38461538461538464,0.3448275862068966,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.625,0.4166666666666667,0.5,12.0
knn,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
knn,macro avg,0.3797105263157895,0.37854212454212455,0.36875161349806385,95.0
knn,weighted avg,0.4314612188365651,0.47368421052631576,0.44009433504469275,95.0
nb,bart,0.5116279069767442,0.6285714285714286,0.5641025641025641,35.0
nb,homer,0.4482758620689655,0.52,0.48148148148148145,25.0
nb,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
nb,marge,0.125,0.1,0.11111111111111112,10.0
nb,maggie,0.125,0.08333333333333333,0.1,12.0
nb,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
nb,macro avg,0.29912361095199913,0.29715018315018316,0.29133903133903133,95.0
nb,weighted avg,0.3745069369494305,0.4105263157894737,0.38622881991303054,95.0
lsvc,bart,0.6,0.7714285714285715,0.675,35.0
lsvc,homer,0.56,0.56,0.56,25.0
lsvc,lisa,0.6,0.6923076923076923,0.6428571428571429,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.8888888888888888,0.6666666666666666,0.761904761904762,12.0
lsvc,accuracy,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.6105263157894737
lsvc,macro avg,0.5297777777777778,0.538080586080586,0.527952380952381,95.0
lsvc,weighted avg,0.5628070175438596,0.6105263157894737,0.5802631578947369,95.0
svc,bart,0.5681818181818182,0.7142857142857143,0.6329113924050633,35.0
svc,homer,0.4375,0.84,0.5753424657534247,25.0
svc,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
svc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
svc,macro avg,0.5011363636363637,0.3429084249084249,0.29908666906759507,95.0
svc,weighted avg,0.5191985645933015,0.5052631578947369,0.42226260586842124,95.0
lr,bart,0.5918367346938775,0.8285714285714286,0.6904761904761905,35.0
lr,homer,0.4230769230769231,0.44,0.4313725490196078,25.0
lr,lisa,0.36363636363636365,0.3076923076923077,0.33333333333333337,13.0
lr,marge,0.0,0.0,0.0,10.0
